ts_ms,sensor_id,valor(s),estado
26375,DHT22_01,8.5|80.0,OK
28696,DHT22_01,8.5|47.9,OK
33358,DHT22_01,27.0|47.9,OK
35688,DHT22_01,16.5|47.9,OK
68422,DHT22_01,59.0|15.0,OK
70774,DHT22_01,59.0|15.0,OK
73133,DHT22_01,62.5|15.0,OK
75494,DHT22_01,65.5|15.0,OK
77856,DHT22_01,65.5|15.0,OK
80217,DHT22_01,65.5|15.0,OK
82577,DHT22_01,65.5|15.0,OK
84938,DHT22_01,65.5|15.0,OK
87309,DHT22_01,65.5|15.0,OK
89680,DHT22_01,65.5|15.0,OK
92051,DHT22_01,65.5|19.3,OK
94422,DHT22_01,65.5|39.4,OK
96793,DHT22_01,65.5|68.1,OK
99164,DHT22_01,67.0|68.1,OK
101534,DHT22_01,67.0|2.3,OK
103905,DHT22_01,45.0|2.3,OK
127753,DHT22_01,64.5|39.4,OK
131105,DHT22_01,64.5|39.4,OK
157357,DHT22_01,61.5|39.4,OK
159748,DHT22_01,62.5|39.4,OK
162149,DHT22_01,65.5|39.4,OK
164550,DHT22_01,65.5|39.4,OK
166951,DHT22_01,67.0|39.4,OK
169352,DHT22_01,67.0|39.4,OK
171752,DHT22_01,67.0|39.4,OK
178983,DHT22_01,0.0|22.5,OK
181396,DHT22_01,66.0|-19.0,OK
195921,DHT22_01,46.5|6.5,OK
198343,DHT22_01,67.0|29.9,OK
200774,DHT22_01,67.0|29.9,OK
203205,DHT22_01,54.0|29.9,OK
239869,DHT22_01,53.0|29.9,OK
242330,DHT22_01,52.0|29.9,OK
244791,DHT22_01,61.0|29.9,OK
247252,DHT22_01,64.5|29.9,OK
249713,DHT22_01,67.0|29.9,OK
252174,DHT22_01,67.0|29.9,OK
254645,DHT22_01,67.0|29.9,OK
257116,DHT22_01,67.0|54.3,OK
259587,DHT22_01,67.0|17.1,OK
262058,DHT22_01,67.0|64.9,OK
264529,DHT22_01,67.0|67.1,OK
267000,DHT22_01,67.0|23.5,OK
269471,DHT22_01,67.0|23.5,OK
271941,DHT22_01,67.0|55.4,OK
275435,DHT22_01,50.0|34.1,OK
277903,DHT22_01,37.0|54.3,OK
280374,DHT22_01,63.5|5.5,OK
285316,DHT22_01,24.5|60.7,OK
297681,DHT22_01,49.5|51.1,OK
300162,DHT22_01,67.0|61.7,OK
302643,DHT22_01,66.0|61.7,OK
305123,DHT22_01,66.0|61.7,OK
307605,DHT22_01,66.0|-5.2,OK
310086,DHT22_01,49.5|62.8,OK
312566,DHT22_01,39.5|2.3,OK
315047,DHT22_01,66.0|42.6,OK
317538,DHT22_01,66.0|-8.3,OK
339262,DHT22_01,56.5|0.2,OK
341573,DHT22_01,16.5|18.2,OK
343903,DHT22_01,61.5|10.8,OK
346233,DHT22_01,18.5|59.6,OK
350895,DHT22_01,17.5|45.8,OK
369561,DHT22_01,37.0|25.6,OK
371902,DHT22_01,37.0|56.4,OK
374243,DHT22_01,37.0|56.4,OK
376585,DHT22_01,37.0|56.4,OK
378925,DHT22_01,37.0|56.4,OK
381266,DHT22_01,37.0|56.4,OK
383617,DHT22_01,64.5|26.7,OK
385968,DHT22_01,41.5|-21.1,OK
390670,DHT22_01,29.0|2.3,OK
393021,DHT22_01,47.5|16.1,OK
395372,DHT22_01,63.5|26.7,OK
429496,DHT22_01,32.5|-16.8,OK
441321,DHT22_01,46.0|-32.8,OK
457977,DHT22_01,21.0|56.4,OK
460369,DHT22_01,67.0|56.4,OK
462759,DHT22_01,67.0|56.4,OK
465151,DHT22_01,67.0|56.4,OK
