ts_ms,sensor_id,valor(s),estado
3253,DHT22_01,73.0|18.2,ALERT
5544,DHT22_01,73.0|18.2,ALERT
7834,DHT22_01,73.0|18.2,ALERT
10125,DHT22_01,73.0|18.2,ALERT
12462,DHT22_01,73.0|18.2,ALERT
14773,DHT22_01,73.0|18.2,ALERT
17093,DHT22_01,73.0|18.2,ALERT
19414,DHT22_01,95.5|18.2,ALERT
21735,DHT22_01,100.0|18.2,ALERT
24055,DHT22_01,84.5|80.0,ALERT
26375,DHT22_01,8.5|80.0,OK
28696,DHT22_01,8.5|47.9,OK
31027,DHT22_01,77.5|47.9,ALERT
33358,DHT22_01,27.0|47.9,OK
35688,DHT22_01,16.5|47.9,OK
38019,DHT22_01,100.0|47.9,ALERT
40350,DHT22_01,100.0|80.0,ALERT
42681,DHT22_01,100.0|80.0,ALERT
45012,DHT22_01,77.5|36.3,ALERT
47343,DHT22_01,77.5|36.3,ALERT
49684,DHT22_01,67.0|36.3,ALERT
52025,DHT22_01,67.0|36.3,ALERT
54366,DHT22_01,67.0|36.3,ALERT
56707,DHT22_01,67.0|-9.4,ALERT
59048,DHT22_01,67.0|-9.4,ALERT
61390,DHT22_01,67.0|-9.4,ALERT
63730,DHT22_01,67.0|-9.4,ALERT
66071,DHT22_01,67.0|-9.4,ALERT
68422,DHT22_01,59.0|15.0,OK
70774,DHT22_01,59.0|15.0,OK
73133,DHT22_01,62.5|15.0,OK
75494,DHT22_01,65.5|15.0,OK
77856,DHT22_01,65.5|15.0,OK
80217,DHT22_01,65.5|15.0,OK
82577,DHT22_01,65.5|15.0,OK
84938,DHT22_01,65.5|15.0,OK
87309,DHT22_01,65.5|15.0,OK
89680,DHT22_01,65.5|15.0,OK
92051,DHT22_01,65.5|19.3,OK
94422,DHT22_01,65.5|39.4,OK
96793,DHT22_01,65.5|68.1,OK
99164,DHT22_01,67.0|68.1,OK
101534,DHT22_01,67.0|2.3,OK
103905,DHT22_01,45.0|2.3,OK
106286,DHT22_01,81.0|10.8,ALERT
108667,DHT22_01,81.0|44.8,ALERT
111048,DHT22_01,81.0|44.8,ALERT
113429,DHT22_01,90.0|50.1,ALERT
115810,DHT22_01,90.0|75.6,ALERT
118191,DHT22_01,92.0|75.6,ALERT
120572,DHT22_01,90.0|9.7,ALERT
122953,DHT22_01,77.0|47.9,ALERT
125354,DHT22_01,89.0|24.6,ALERT
127753,DHT22_01,64.5|39.4,OK
131105,DHT22_01,64.5|39.4,OK
133487,DHT22_01,76.0|39.4,ALERT
135867,DHT22_01,66.0|39.4,ALERT
138248,DHT22_01,66.0|39.4,ALERT
140629,DHT22_01,66.0|39.4,ALERT
143010,DHT22_01,66.0|39.4,ALERT
145401,DHT22_01,66.0|39.4,ALERT
147792,DHT22_01,66.0|39.4,ALERT
150183,DHT22_01,66.0|39.4,ALERT
152575,DHT22_01,66.0|39.4,ALERT
154965,DHT22_01,66.0|39.4,ALERT
157357,DHT22_01,61.5|39.4,OK
159748,DHT22_01,62.5|39.4,OK
162149,DHT22_01,65.5|39.4,OK
164550,DHT22_01,65.5|39.4,OK
166951,DHT22_01,67.0|39.4,OK
169352,DHT22_01,67.0|39.4,OK
171752,DHT22_01,67.0|39.4,OK
174163,DHT22_01,90.0|19.3,ALERT
176573,DHT22_01,84.5|73.4,ALERT
178983,DHT22_01,0.0|22.5,OK
181396,DHT22_01,66.0|-19.0,OK
183817,DHT22_01,85.5|9.7,ALERT
186237,DHT22_01,66.0|22.5,ALERT
188658,DHT22_01,65.5|67.1,ALERT
191079,DHT22_01,78.5|45.8,ALERT
193501,DHT22_01,79.5|45.8,ALERT
195921,DHT22_01,46.5|6.5,OK
198343,DHT22_01,67.0|29.9,OK
200774,DHT22_01,67.0|29.9,OK
203205,DHT22_01,54.0|29.9,OK
205636,DHT22_01,100.0|29.9,ALERT
208067,DHT22_01,100.0|29.9,ALERT
210497,DHT22_01,71.5|29.9,ALERT
212929,DHT22_01,69.5|29.9,ALERT
215360,DHT22_01,69.5|29.9,ALERT
217801,DHT22_01,69.5|29.9,ALERT
220242,DHT22_01,70.5|29.9,ALERT
222683,DHT22_01,68.0|29.9,ALERT
225133,DHT22_01,68.0|29.9,ALERT
227583,DHT22_01,68.0|29.9,ALERT
230036,DHT22_01,68.0|29.9,ALERT
232487,DHT22_01,68.0|29.9,ALERT
234937,DHT22_01,68.0|29.9,ALERT
237408,DHT22_01,65.5|29.9,ALERT
239869,DHT22_01,53.0|29.9,OK
242330,DHT22_01,52.0|29.9,OK
244791,DHT22_01,61.0|29.9,OK
247252,DHT22_01,64.5|29.9,OK
249713,DHT22_01,67.0|29.9,OK
252174,DHT22_01,67.0|29.9,OK
254645,DHT22_01,67.0|29.9,OK
257116,DHT22_01,67.0|54.3,OK
259587,DHT22_01,67.0|17.1,OK
262058,DHT22_01,67.0|64.9,OK
264529,DHT22_01,67.0|67.1,OK
267000,DHT22_01,67.0|23.5,OK
269471,DHT22_01,67.0|23.5,OK
271941,DHT22_01,67.0|55.4,OK
275435,DHT22_01,50.0|34.1,OK
277903,DHT22_01,37.0|54.3,OK
280374,DHT22_01,63.5|5.5,OK
282843,DHT22_01,88.5|45.8,ALERT
285316,DHT22_01,24.5|60.7,OK
287787,DHT22_01,92.5|14.0,ALERT
290257,DHT22_01,90.0|33.1,ALERT
292728,DHT22_01,84.5|-0.9,ALERT
295199,DHT22_01,72.5|-0.9,ALERT
297681,DHT22_01,49.5|51.1,OK
300162,DHT22_01,67.0|61.7,OK
302643,DHT22_01,66.0|61.7,OK
305123,DHT22_01,66.0|61.7,OK
