timestamp,voltage_V,temperature_K
2025-01-01T12:09:00,4.000,347.00
2025-01-01T12:09:05,5.011,376.16
2025-01-01T12:09:10,5.000,375.84
2025-01-01T12:09:15,5.236,382.65
2025-01-01T12:09:20,5.442,388.59
2025-01-01T12:09:25,5.000,375.84
2025-01-01T12:09:30,5.527,391.04
2025-01-01T12:09:35,5.602,393.21
2025-01-01T12:09:40,5.498,390.21
2025-01-01T12:09:45,5.618,393.67
2025-01-01T12:09:50,5.693,395.83
2025-01-01T12:09:55,5.000,375.84
2025-01-01T12:10:00,5.000,375.84
2025-01-01T12:10:05,5.000,375.84
2025-01-01T12:10:10,5.448,388.77
2025-01-01T12:10:15,5.430,388.25
2025-01-01T12:10:20,5.000,375.84
2025-01-01T12:10:25,5.000,375.84
2025-01-01T12:10:30,5.123,379.39
2025-01-01T12:10:40,5.057,377.49
2025-01-01T12:10:45,5.000,375.84
2025-01-01T12:10:50,4.836,371.11
2025-01-01T12:11:00,4.000,347.00
2025-01-01T12:11:05,4.535,362.43
2025-01-01T12:11:10,4.000,347.00
2025-01-01T12:11:15,4.000,347.00
2025-01-01T12:11:20,8.756,484.19
2025-01-01T12:11:25,4.000,347.00
2025-01-01T12:11:30,4.000,347.00
2025-01-01T12:11:35,4.436,359.57
2025-01-01T12:11:40,4.400,358.53
2025-01-01T12:11:45,4.000,347.00
2025-01-01T12:12:00,4.000,347.00
2025-01-01T12:12:05,4.000,347.00
2025-01-01T12:12:10,4.806,370.25
2025-01-01T12:12:15,4.886,372.55
2025-01-01T12:12:20,4.913,373.33
2025-01-01T12:12:25,4.000,347.00
2025-01-01T12:12:35,5.237,382.68
2025-01-01T12:12:40,5.377,386.72
2025-01-01T12:12:45,5.329,385.33
2025-01-01T12:12:50,5.000,375.84
2025-01-01T12:12:55,5.464,389.23
2025-01-01T12:13:00,5.000,375.84
2025-01-01T12:13:05,5.000,375.84
2025-01-01T12:13:20,5.000,375.84
2025-01-01T12:13:25,5.600,393.15
2025-01-01T12:13:30,5.434,388.36
2025-01-01T12:13:35,5.000,375.84
2025-01-01T12:13:40,5.000,375.84
2025-01-01T12:13:50,5.184,381.15
2025-01-01T12:13:55,5.029,376.68
2025-01-01T12:14:00,5.071,377.89
2025-01-01T12:14:05,4.000,347.00
2025-01-01T12:14:10,4.000,347.00
2025-01-01T12:14:15,4.000,347.00
2025-01-01T12:14:20,4.677,366.52
2025-01-01T12:14:25,4.000,347.00
2025-01-01T12:14:30,4.000,347.00
2025-01-01T12:14:40,4.000,347.00
2025-01-01T12:14:45,4.324,356.34
