timestamp,voltage_V,temperature_K
2025-01-01T12:18:00,5.094,378.55
2025-01-01T12:18:05,5.118,379.25
2025-01-01T12:18:10,5.160,380.46
2025-01-01T12:18:15,5.209,381.87
2025-01-01T12:18:20,5.358,386.17
2025-01-01T12:18:30,5.561,392.02
2025-01-01T12:18:35,5.626,393.90
2025-01-01T12:18:40,5.535,391.27
2025-01-01T12:18:45,5.653,394.68
2025-01-01T12:18:50,5.513,390.64
2025-01-01T12:18:55,5.587,392.77
2025-01-01T12:19:00,5.544,391.53
2025-01-01T12:19:05,5.459,389.08
2025-01-01T12:19:15,5.349,385.91
2025-01-01T12:19:20,5.310,384.78
2025-01-01T12:19:25,5.202,381.67
2025-01-01T12:19:30,5.137,379.79
2025-01-01T12:19:35,4.996,375.73
2025-01-01T12:19:50,4.793,369.87
2025-01-01T12:19:55,4.729,368.02
2025-01-01T12:20:00,4.549,362.83
2025-01-01T12:20:05,4.635,365.31
2025-01-01T12:20:10,8.170,467.28
2025-01-01T12:20:20,4.417,359.02
2025-01-01T12:20:25,4.333,356.60
2025-01-01T12:20:30,4.359,357.35
2025-01-01T12:20:35,4.500,361.42
2025-01-01T12:20:40,4.521,362.02
2025-01-01T12:20:50,4.522,362.05
2025-01-01T12:20:55,4.589,363.99
2025-01-01T12:21:00,4.666,366.21
2025-01-01T12:21:05,4.672,366.38
2025-01-01T12:21:10,4.757,368.83
2025-01-01T12:21:20,5.074,377.98
2025-01-01T12:21:30,5.128,379.53
2025-01-01T12:21:35,3.194,323.75
2025-01-01T12:21:40,5.353,386.02
2025-01-01T12:21:45,5.467,389.31
2025-01-01T12:21:50,5.536,391.30
2025-01-01T12:21:55,5.561,392.02
2025-01-01T12:22:10,5.658,394.82
2025-01-01T12:22:15,5.532,391.19
2025-01-01T12:22:20,5.522,390.90
2025-01-01T12:22:25,5.602,393.21
2025-01-01T12:22:30,5.427,388.16
2025-01-01T12:22:40,5.383,386.89
2025-01-01T12:22:45,5.199,381.58
2025-01-01T12:22:50,5.136,379.77
2025-01-01T12:23:00,3.439,330.81
2025-01-01T12:23:05,4.842,371.28
2025-01-01T12:23:10,4.913,373.33
2025-01-01T12:23:15,4.702,367.25
2025-01-01T12:23:20,4.743,368.43
2025-01-01T12:23:25,4.673,366.41
2025-01-01T12:23:30,4.461,360.29
2025-01-01T12:23:35,4.435,359.54
2025-01-01T12:23:45,4.377,357.87
2025-01-01T12:23:50,4.414,358.94
2025-01-01T12:23:55,4.481,360.87
2025-01-01T12:24:00,4.438,359.63
2025-01-01T12:24:05,4.522,362.05
2025-01-01T12:24:10,4.433,359.49
2025-01-01T12:24:15,4.523,362.08
2025-01-01T12:24:20,4.629,365.14
2025-01-01T12:24:25,7.818,457.13
2025-01-01T12:24:30,4.818,370.59
2025-01-01T12:24:35,4.964,374.80
2025-01-01T12:24:40,5.095,378.58
2025-01-01T12:24:45,5.020,376.42
2025-01-01T12:24:50,5.136,379.77
2025-01-01T12:24:55,5.173,380.83
2025-01-01T12:25:00,5.372,386.57
2025-01-01T12:25:05,5.466,389.28
2025-01-01T12:25:10,8.277,470.37
2025-01-01T12:25:15,5.590,392.86
