archivo,salida,filas_totales,filas_validas,descartes_timestamp,descartes_valor,%descartadas,n,min,max,prom,alerts,alerts_pct
humedad_sucio_01.csv,humedad_limpio_01.csv,180,158,0,22,12.22,158,25.75757575757576,130.82545454545456,67.9551841196778,2,1.2658227848101267
humedad_sucio_02.csv,humedad_limpio_02.csv,180,160,0,20,11.11,160,34.978484848484854,130.26121212121214,73.74388825757576,10,6.25
humedad_sucio_03.csv,humedad_limpio_03.csv,180,156,0,24,13.33,156,25.75757575757576,126.07393939393941,67.78297591297591,2,1.2820512820512822
humedad_sucio_04.csv,humedad_limpio_04.csv,180,156,0,24,13.33,156,35.082424242424246,130.30575757575758,71.59132672882673,6,3.8461538461538463
humedad_sucio_05.csv,humedad_limpio_05.csv,180,153,0,27,15.0,153,25.75757575757576,132.34,68.89252129134482,9,5.882352941176471
humedad_sucio_06.csv,humedad_limpio_06.csv,180,155,0,25,13.89,155,37.20575757575758,121.50060606060606,72.27615444770284,6,3.870967741935484
humedad_sucio_07.csv,humedad_limpio_07.csv,180,149,0,31,17.22,149,34.51818181818182,113.73484848484848,66.80935123042505,1,0.6711409395973155
humedad_sucio_08.csv,humedad_limpio_08.csv,180,154,0,26,14.44,154,34.66666666666667,121.9460606060606,71.89133608815428,5,3.2467532467532467
humedad_sucio_09.csv,humedad_limpio_09.csv,180,155,0,25,13.89,155,25.75757575757576,132.41424242424242,68.41075855327468,8,5.161290322580645
humedad_sucio_10.csv,humedad_limpio_10.csv,180,164,0,16,8.89,164,35.9139393939394,129.16242424242427,72.59784552845528,6,3.658536585365854
