n,min,max,prom,alerts,alerts_pct,filas_totales,filas_validas,descartes_timestamp,descartes_valor,%descartadas,archivo
158,289.30384615384617,493.4192307692308,371.28114654333007,120,75.9493670886076,180,158,0,22,12.22,humedad_sucio_01.csv
160,307.2173076923077,492.32307692307694,382.52686298076924,156,97.5,180,160,0,20,11.11,humedad_sucio_02.csv
156,289.30384615384617,484.1884615384615,370.9465976331361,119,76.28205128205128,180,156,0,24,13.33,humedad_sucio_03.csv
156,307.41923076923075,492.40961538461545,378.3450813609467,149,95.51282051282051,180,156,0,24,13.33,humedad_sucio_04.csv
153,289.30384615384617,496.3615384615385,373.10211161387633,117,76.47058823529412,180,153,0,27,15.0,humedad_sucio_05.csv
155,311.54423076923075,475.30384615384617,379.6754962779156,152,98.06451612903226,180,155,0,25,13.89,humedad_sucio_06.csv
149,306.3230769230769,460.2173076923077,369.05513680949923,110,73.8255033557047,180,149,0,31,17.22,humedad_sucio_07.csv
154,306.61153846153843,476.16923076923075,378.92790959040957,149,96.75324675324676,180,154,0,26,14.44,humedad_sucio_08.csv
155,289.30384615384617,496.5057692307692,372.1661910669975,115,74.19354838709677,180,155,0,25,13.89,humedad_sucio_09.csv
164,309.0346153846154,490.1884615384615,380.30044559099434,162,98.78048780487805,180,164,0,16,8.89,humedad_sucio_10.csv
