ts_ms,sensor_id,valor,valor_avg,estado
2836,S01,84.00,84.00,ALERT
3336,S01,84.00,84.00,ALERT
3836,S01,84.00,84.00,ALERT
4336,S01,84.00,84.00,ALERT
4837,S01,84.00,84.00,ALERT
5337,S01,84.00,84.00,ALERT
5837,S01,100.00,86.29,ALERT
6337,S01,100.00,88.00,ALERT
6837,S01,49.50,83.69,ALERT
7337,S01,49.50,79.38,ALERT
7837,S01,49.50,75.06,ALERT
8337,S01,49.50,70.75,ALERT
8837,S01,49.50,66.44,OK
9337,S01,49.50,62.13,OK
9837,S01,49.50,55.81,OK
10337,S01,49.50,49.50,OK
10837,S01,49.50,49.50,OK
11337,S01,49.50,49.50,OK
11837,S01,49.50,49.50,OK
12337,S01,49.50,49.50,OK
12838,S01,49.50,49.50,OK
13339,S01,49.50,49.50,OK
13839,S01,49.50,49.50,OK
14340,S01,49.50,49.50,OK
14840,S01,49.50,49.50,OK
15340,S01,49.50,49.50,OK
15841,S01,49.50,49.50,OK
16341,S01,49.50,49.50,OK
16842,S01,49.50,49.50,OK
17342,S01,13.00,44.94,OK
17842,S01,13.00,40.38,OK
18342,S01,13.00,35.81,OK
18842,S01,13.00,31.25,OK
19342,S01,54.00,31.81,OK
19842,S01,54.00,32.38,OK
20342,S01,54.00,32.94,OK
20842,S01,54.00,33.50,OK
21343,S01,54.00,38.63,OK
21843,S01,73.00,46.13,OK
22344,S01,97.00,56.63,OK
22844,S01,97.00,67.13,OK
23344,S01,97.00,72.50,ALERT
23844,S01,42.50,71.06,ALERT
24344,S01,82.00,74.56,ALERT
24845,S01,82.00,78.06,ALERT
25346,S01,82.00,81.56,ALERT
25846,S01,82.00,82.69,ALERT
26346,S01,82.00,80.81,ALERT
26847,S01,82.00,78.94,ALERT
27347,S01,49.50,73.00,ALERT
27847,S01,49.50,73.88,ALERT
28347,S01,49.50,69.81,ALERT
28847,S01,49.50,65.75,OK
29347,S01,49.50,61.69,OK
29847,S01,49.50,57.63,OK
30347,S01,49.50,53.56,OK
30847,S01,49.50,49.50,OK
31347,S01,49.50,49.50,OK
32581,S01,29.00,46.94,OK
33081,S01,12.00,42.25,OK
33581,S01,12.00,37.56,OK
34081,S01,73.00,40.50,OK
34581,S01,92.50,45.88,OK
35082,S01,92.50,51.25,OK
35582,S01,46.50,50.88,OK
36082,S01,46.50,50.50,OK
36582,S01,46.50,52.69,OK
37082,S01,62.50,59.00,OK
37582,S01,68.00,66.00,OK
38082,S01,68.00,65.38,OK
38583,S01,68.00,62.31,OK
39084,S01,27.00,54.13,OK
39584,S01,51.00,54.69,OK
40085,S01,71.50,57.81,OK
40585,S01,51.00,58.38,OK
41085,S01,24.50,53.63,OK
41586,S01,53.00,51.75,OK
42086,S01,72.50,52.31,OK
42587,S01,72.50,52.88,OK
43087,S01,48.50,55.56,OK
43587,S01,25.50,52.38,OK
44087,S01,25.50,46.63,OK
44587,S01,25.50,43.44,OK
45087,S01,52.00,46.88,OK
45587,S01,63.50,48.19,OK
46087,S01,63.50,47.06,OK
46587,S01,63.50,45.94,OK
47087,S01,31.50,43.81,OK
47587,S01,31.50,44.56,OK
48088,S01,55.50,48.31,OK
48588,S01,77.50,54.81,OK
49088,S01,77.50,58.00,OK
49589,S01,42.50,55.38,OK
50089,S01,16.50,49.50,OK
50590,S01,16.50,43.63,OK
51090,S01,16.50,41.75,OK
